*** Hong Kong (2107) ***
1.   International Commerce Centre, 484m
Rank: 325

*** 31 Robinson Road ***
Height: 151.18
Status: Completed
Completed: 2007
Functions: residential
Rank: 326

*** Oscar by The Sea Tower 3 ***
Height: 151.14
Floors: 48
Status: Completed
Completed: 2002
Functions: residential
Rank: 327

*** Dynasty Court Tower 3-5 ***
Height: 150.93
Floors: 46
Status: Completed
Completed: 1992
Functions: residential
Rank: 328

*** Skyline Tower ***
Height: 150.68
Floors: 38
Status: Completed
Completed: 2004
Functions: office
Rank: 329

*** East Point City Tower 1 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 2 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 3 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 5 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 6 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 7 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** East Point City Tower 8 ***
Height: 150.63
Floors: 49
Status: Completed
Completed: 2000
Functions: residential
Rank: 330

*** Queen's Terrace 1 ***
Height: 150.57
Floors: 50
Status: Completed
Completed: 2003
Functions: residential
Rank: 337

*** Royal Penisula 2-5 ***
Height: 150.45
Floors: 50
Status: Completed
Started: 1999
Completed: 2001
Functions: residential
Rank: 338

*** Harbour One ***
Height: 150.27
Floors: 38
Status: Completed
Completed: 2012
Functions: residential
Rank: 339

*** Sun Tuen Mun Centre 1 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 10 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 2 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 3 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 4 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 5 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 6 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 7 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 8 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Sun Tuen Mun Centre 9 ***
Height: 150.25
Floors: 48
Status: Completed
Completed: 1991
Functions: residential
Rank: 340

*** Robinson Place Tower B ***
Height: 150.18
Floors: 48
Status: Completed
Completed: 1994
Functions: residential
Rank: 350

*** Broadview Villa ***
Height: 150
Floors: 50
Status: Completed
Completed: 1996
Functions: residential
Rank: 351

*** VISTA ***
Height: 150
Floors: 46
Status: Completed
Started: 2006
Completed: 2008
Functions: residential / retail
Rank: 352

*** Manulife Tower ***
Height: 149.95
Floors: 45
Status: Completed
Started: 1989
Completed: 1990
Functions: office
Rank: 353

*** Serenity Place 1 ***
Height: 149.85
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 354

*** Serenity Place 2 ***
Height: 149.85
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 354

*** Serenity Place 4 ***
Height: 149.85
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 354

*** Serenity Place 5 ***
Height: 149.85
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 354

*** Broadview Court 3 ***
Height: 149
Floors: 47
Status: Completed
Completed: 2001
Functions: residential
Rank: 358

*** Broadview Court 4 ***
Height: 149
Floors: 47
Status: Completed
Completed: 2001
Functions: residential
Rank: 358

*** Renaissance Harbour View Hotel ***
Height: 148.9
Floors: 51
Status: Completed
Completed: 1989
Functions: hotel
Rank: 360

*** Maritime Bay 1 ***
Height: 148.9
Floors: 49
Status: Completed
Completed: 1998
Functions: residential
Rank: 361

*** Maritime Bay 2 ***
Height: 148.9
Floors: 49
Status: Completed
Completed: 1998
Functions: residential
Rank: 361

*** Hong Kong Sanitorium & Hospital - Li Shu Pui Block ***
Height: 148.5
Floors: 38
Status: Completed
Completed: 2008
Functions: hospital
Rank: 363

*** Villa Esplanada 10 ***
Height: 148.03
Floors: 44
Status: Completed
Completed: 2001
Functions: residential
Rank: 364

*** Villa Esplanada 11 ***
Height: 148.03
Floors: 44
Status: Completed
Completed: 2001
Functions: residential
Rank: 364

*** Villa Esplanada 8 ***
Height: 148.03
Floors: 44
Status: Completed
Completed: 2001
Functions: residential
Rank: 364

*** Villa Esplanada 9 ***
Height: 148.03
Floors: 44
Status: Completed
Completed: 2001
Functions: residential
Rank: 364

*** City Point Tower 7 ***
Height: 148
Floors: 44
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 368

*** City Point Tower 8 ***
Height: 148
Floors: 44
Status: Completed
Started: 2011
Completed: 2015
Functions: residential
Rank: 368

*** Bel Air Heights 1 ***
Height: 147.45
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 370

*** Bel Air Heights 2 ***
Height: 147.45
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 370

*** Birchwood Place ***
Height: 147.23
Floors: 44
Status: Completed
Completed: 1989
Functions: residential
Rank: 372

*** Century Gateway 3 ***
Height: 147.22
Floors: 38
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 373

*** Park Avenue Tower 1 ***
Height: 146.98
Floors: 48
Status: Completed
Completed: 2000
Functions: residential
Rank: 374

*** Park Avenue Tower 2 ***
Height: 146.98
Floors: 48
Status: Completed
Completed: 2000
Functions: residential
Rank: 374

*** Park Avenue Tower 3 ***
Height: 146.98
Floors: 48
Status: Completed
Completed: 2000
Functions: residential
Rank: 374

*** Park Avenue Tower 5 ***
Height: 146.98
Floors: 48
Status: Completed
Completed: 2000
Functions: residential
Rank: 374

*** Radiant Towers 1 ***
Height: 146.88
Floors: 47
Status: Completed
Started: 1996
Completed: 1997
Functions: residential
Rank: 378

*** Radiant Towers 2 ***
Height: 146.88
Floors: 47
Status: Completed
Started: 1996
Completed: 1997
Functions: residential
Rank: 378

*** The Colonnade ***
Height: 146.65
Floors: 33
Status: Completed
Completed: 2001
Functions: residential
Rank: 380

*** Serenity Place 3 ***
Height: 146.5
Floors: 44
Status: Completed
Completed: 2000
Functions: residential
Rank: 381

*** The Zenith 2 ***
Height: 146
Floors: 46
Status: Completed
Completed: 2007
Functions: residential
Rank: 382

*** The Zenith 3 ***
Height: 146
Floors: 46
Status: Completed
Completed: 2007
Functions: residential
Rank: 382

*** Bank of America Tower ***
Height: 146
Floors: 38
Status: Completed
Completed: 1975
Functions: office
Rank: 384

*** Great Eagle Centre ***
Height: 146
Floors: 35
Status: Completed
Completed: 1983
Functions: office
Rank: 385

*** Harbour Centre ***
Height: 146
Floors: 35
Status: Completed
Completed: 1983
Functions: office
Rank: 385

*** MLC Millennia Plaza ***
Height: 145.65
Floors: 30
Status: Completed
Started: 1997
Completed: 1999
Functions: office
Rank: 387

*** Kornville Tower 1 ***
Height: 145.64
Floors: 49
Status: Completed
Started: 1993
Completed: 1995
Functions: residential
Rank: 388

*** Kornville Tower 2 ***
Height: 145.64
Floors: 49
Status: Completed
Started: 1993
Completed: 1995
Functions: residential
Rank: 388

*** Grand Terrace ***
Height: 145.57
Floors: 46
Status: Completed
Started: 1998
Completed: 2001
Functions: residential
Rank: 390

*** Century Gateway 7 ***
Height: 145.39
Floors: 40
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 391

*** Tierra Verde 1 ***
Height: 145
Floors: 51
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 392

*** The Pinnacle 1 ***
Height: 145
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 393

*** The Pinnacle 2 ***
Height: 145
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 393

*** The Pinnacle 3 ***
Height: 145
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 393

*** The Pinnacle 4 ***
Height: 145
Floors: 50
Status: Completed
Completed: 1999
Functions: residential
Rank: 393

*** Broad View Villa ***
Height: 145
Floors: 49
Status: Completed
Completed: 1995
Functions: residential
Rank: 397

*** New Haven 1-3 ***
Height: 145
Floors: 41
Status: Completed
Completed: 2003
Functions: residential
Rank: 398

*** Western Harbour Centre ***
Height: 144.25
Floors: 29
Status: Completed
Started: 1995
Completed: 1997
Functions: office
Rank: 399

*** Three Exchange Square ***
Height: 144
Floors: 32
Status: Completed
Completed: 1988
Functions: office
Rank: 400

*** Broadview Court 1 ***
Height: 143.85
Floors: 45
Status: Completed
Completed: 2001
Functions: residential
Rank: 401

*** Broadview Court 2 ***
Height: 143.85
Floors: 45
Status: Completed
Completed: 2001
Functions: residential
Rank: 401

*** iSQUARE ***
Height: 143.7
Floors: 27
Status: Completed
Started: 2006
Completed: 2009
Functions: retail
Rank: 403

*** Discovery Park Tower 1 ***
Height: 143.25
Floors: 48
Status: Completed
Completed: 1998
Functions: residential
Rank: 404

*** Discovery Park Tower 2 ***
Height: 143.25
Floors: 48
Status: Completed
Completed: 1998
Functions: residential
Rank: 404

*** Discovery Park Tower 3 ***
Height: 143.25
Floors: 48
Status: Completed
Completed: 1998
Functions: residential
Rank: 404

*** Discovery Park Tower 5 ***
Height: 143.25
Floors: 48
Status: Completed
Completed: 1998
Functions: residential
Rank: 404

*** Villa Esplanada 3 ***
Height: 142.63
Floors: 40
Status: Completed
Completed: 2001
Functions: residential
Rank: 408

*** Villa Esplanada 5 ***
Height: 142.63
Floors: 40
Status: Completed
Completed: 2001
Functions: residential
Rank: 408

*** Villa Esplanada 6 ***
Height: 142.63
Floors: 40
Status: Completed
Completed: 2001
Functions: residential
Rank: 408

*** Villa Esplanada 7 ***
Height: 142.63
Floors: 40
Status: Completed
Completed: 2001
Functions: residential
Rank: 408

*** Dah Sing Financial Centre ***
Height: 142.48
Floors: 39
Status: Completed
Completed: 1991
Functions: office
Rank: 412

*** The Waterfront 1 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** The Waterfront 2 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** The Waterfront 3 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** The Waterfront 5 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** The Waterfront 6 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** The Waterfront 7 ***
Height: 142.46
Floors: 46
Status: Completed
Started: 1998
Completed: 2000
Functions: residential
Rank: 413

*** Sing Pao Centre ***
Height: 142.35
Floors: 27
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 419

*** 633 Kings Road ***
Height: 142.34
Floors: 35
Status: Completed
Completed: 2007
Functions: office
Rank: 420

*** Tierra Verde 2 ***
Height: 142.2
Floors: 50
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 421

*** Tierra Verde 3 ***
Height: 142.2
Floors: 50
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 421

*** Tierra Verde 3A ***
Height: 142.2
Floors: 50
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 421

*** Tierra Verde 5 ***
Height: 142.2
Floors: 50
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 421

*** The Manhattan ***
Height: 142.1
Floors: 48
Status: Completed
Completed: 1986
Functions: residential
Rank: 425

*** Windsor House ***
Height: 142
Floors: 42
Status: Completed
Completed: 1978
Functions: office / retail
Rank: 426

*** Morrison Plaza ***
Height: 141.95
Floors: 34
Status: Completed
Started: 1995
Completed: 1996
Functions: office
Rank: 427

*** Well On Garden 1 ***
Height: 141.2
Floors: 44
Status: Completed
Completed: 1994
Functions: residential
Rank: 428

*** Well On Garden 2 ***
Height: 141.2
Floors: 44
Status: Completed
Completed: 1994
Functions: residential
Rank: 428

*** Well On Garden 3 ***
Height: 141.2
Floors: 44
Status: Completed
Completed: 1994
Functions: residential
Rank: 428

*** Well On Garden 4 ***
Height: 141.2
Floors: 44
Status: Completed
Completed: 1994
Functions: residential
Rank: 428

*** Oscar by The Sea Tower 1 ***
Height: 141.2
Floors: 42
Status: Completed
Completed: 2002
Functions: residential
Rank: 432

*** Nan Fung Plaza 5 ***
Height: 141
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 433

*** Ibis Hong Kong Central and Sheung Wan Hotel ***
Height: 141
Floors: 33
Status: Completed
Started: 2009
Completed: 2012
Functions: hotel
Rank: 434

*** Villa Esplanada 1 ***
Height: 140.65
Floors: 39
Status: Completed
Completed: 2001
Functions: residential
Rank: 435

*** Villa Esplanada 2 ***
Height: 140.65
Floors: 39
Status: Completed
Completed: 2001
Functions: residential
Rank: 435

*** Oscar by the Sea Tower 2 ***
Height: 140.4
Floors: 46
Status: Completed
Completed: 2002
Functions: residential
Rank: 437

*** Nan Fung Plaza 6 ***
Height: 140
Floors: 45
Status: Completed
Completed: 2000
Functions: residential
Rank: 438

*** Lexington Hill ***
Height: 140
Floors: 43
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 439

*** Imperial Cullinan Tower 1 ***
Height: 140
Floors: 33
Status: Completed
Started: 2008
Completed: 2012
Functions: residential
Rank: 440

*** Imperial Cullinan Tower 2 ***
Height: 140
Floors: 33
Status: Completed
Started: 2008
Completed: 2012
Functions: residential
Rank: 440

*** Imperial Cullinan Tower 3 ***
Height: 140
Floors: 33
Status: Completed
Started: 2008
Completed: 2012
Functions: residential
Rank: 440

*** Imperial Cullinan Tower 5 ***
Height: 140
Floors: 33
Status: Completed
Started: 2008
Completed: 2012
Functions: residential
Rank: 440

*** Imperial Cullinan Tower 8 ***
Height: 140
Floors: 33
Status: Completed
Started: 2008
Completed: 2012
Functions: residential
Rank: 440

*** United Centre ***
Height: 140
Floors: 33
Status: Completed
Completed: 1981
Functions: office
Rank: 440

*** Larvotto Towers 1, 2 ***
Height: 139.8
Floors: 35
Status: Completed
Started: 2005
Completed: 2011
Functions: residential
Rank: 446

*** Larvotto Towers 3, 5, 6, 7 ***
Height: 139.8
Floors: 35
Status: Completed
Started: 2005
Completed: 2011
Functions: residential
Rank: 446

*** Millennium City 1 - Tower 1 ***
Height: 139.8
Floors: 32
Status: Completed
Completed: 1998
Functions: office
Rank: 448

*** Century Gateway 8 ***
Height: 139.29
Floors: 38
Status: Completed
Started: 2007
Completed: 2014
Functions: residential
Rank: 449

*** Argenta ***
Height: 139
Floors: 36
Status: Completed
Started: 2011
Completed: 2013
Functions: residential
Rank: 450

*** Princeton Tower ***
Height: 138.7
Floors: 41
Status: Completed
Started: 2001
Completed: 2004
Functions: residential
Rank: 451

*** Wu Chung House ***
Height: 138.4
Floors: 40
Status: Completed
Completed: 1991
Functions: office
Rank: 452

*** East ***
Height: 138.38
Floors: 32
Status: Completed
Completed: 2010
Functions: hotel
Rank: 453

*** AIA Financial Centre ***
Height: 138.38
Floors: 27
Status: Completed
Completed: 2009
Functions: office
Rank: 454

*** The Avenue Phase 2, T1 ***
Height: 138
Floors: 33
Status: Completed
Completed: 2015
Functions: residential
Rank: 455

*** Kerry Centre ***
Height: 138
Floors: 30
Status: Completed
Started: 2008
Completed: 2011
Functions: office
Rank: 456

*** Millennium City 1 - Standard Chartered Tower ***
Height: 137.8
Floors: 32
Status: Completed
Completed: 1998
Functions: office
Rank: 457

*** Two Chinachem Central ***
Height: 137.69
Floors: 27
Status: Completed
Completed: 2017
Functions: office / retail
Rank: 458

*** Berkshire House ***
Height: 137.2
Floors: 31
Status: Completed
Completed: 1998
Functions: office
Rank: 459

*** 50 Connaught Road Central ***
Height: 137.15
Floors: 26
Status: Completed
Completed: 2011
Functions: office
Rank: 460

*** Chater House ***
Height: 137
Floors: 30
Status: Completed
Started: 2000
Completed: 2002
Functions: office
Rank: 461

*** Queen Mary Hospital Block K ***
Height: 137
Floors: 27
Status: Completed
Completed: 1991
Functions: hospital
Rank: 462

*** Nan Fung Plaza 3 ***
Height: 136.85
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 463

*** Tierra Verde 9 ***
Height: 136.6
Floors: 48
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 464

*** Larvotto Towers 8, 9, 10 ***
Height: 136.6
Floors: 34
Status: Completed
Started: 2005
Completed: 2011
Functions: residential
Rank: 465

*** Metro City II Tower 1 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 10 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 11 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 2 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 3 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 4 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 5 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 6 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 7 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 8 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Metro City II Tower 9 ***
Height: 136.5
Floors: 44
Status: Completed
Completed: 1999
Functions: residential
Rank: 466

*** Wan Chai Tower ***
Height: 136.5
Floors: 32
Status: Completed
Completed: 1985
Functions: office
Rank: 477

*** OLIV ***
Height: 135.57
Floors: 25
Status: Completed
Started: 2010
Completed: 2014
Functions: retail
Rank: 478

*** Top Glory Tower ***
Height: 135.3
Floors: 31
Status: Completed
Completed: 1993
Functions: office
Rank: 479

*** Pacific View 1-5 ***
Height: 135
Floors: 47
Status: Completed
Completed: 1990
Functions: residential
Rank: 480

*** 9 Des Voeux Road West ***
Height: 135
Floors: 31
Status: Completed
Completed: 1994
Functions: office
Rank: 481

*** Tierra Verde 7 ***
Height: 133.8
Floors: 47
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 482

*** Tierra Verde 8 ***
Height: 133.8
Floors: 47
Status: Completed
Started: 1999
Completed: 2000
Functions: residential
Rank: 482

*** One Chinachem Central ***
Height: 133.55
Floors: 27
Status: Completed
Completed: 2016
Functions: office / retail
Rank: 484

*** Regence Royale Tower II ***
Height: 133.2
Floors: 39
Status: Completed
Completed: 2000
Functions: residential
Rank: 485

*** Regence Royale Tower I ***
Height: 133
Floors: 39
Status: Completed
Completed: 2000
Functions: residential
Rank: 486

*** Lai Tin House ***
Height: 132.28
Floors: 44
Status: Completed
Completed: 1975
Functions: residential
Rank: 487

*** Tai Tin House ***
Height: 132.28
Floors: 44
Status: Completed
Completed: 1975
Functions: residential
Rank: 487

*** Grand Hyatt Hong Kong ***
Height: 132
Floors: 46
Status: Completed
Completed: 1989
Functions: hotel
Rank: 489

*** Queen's Terrace 3 ***
Height: 131.98
Floors: 41
Status: Completed
Completed: 2002
Functions: residential
Rank: 490

*** Best Western Hotel Harbour View ***
Height: 131.67
Floors: 34
Status: Completed
Completed: 2012
Functions: hotel
Rank: 491

*** Guangdong Finance Centre ***
Height: 131.4
Floors: 31
Status: Completed
Started: 1998
Completed: 1999
Functions: office
Rank: 492

*** Queen's Terrace 2 ***
Height: 131.37
Floors: 45
Status: Completed
Completed: 2002
Functions: residential
Rank: 493

*** Mung Ching House ***
Height: 131.37
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 494

*** Sheung Ching House ***
Height: 131.37
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 494

*** Tierra Verde 6 ***
Height: 131
Floors: 46
Status: Completed
Started: 1998
Completed: 1999
Functions: residential
Rank: 496

*** Discovery Park Tower 10 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 11 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 12 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 13 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 6 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 7 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 8 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Discovery Park Tower 9 ***
Height: 131
Floors: 44
Status: Completed
Completed: 1998
Functions: residential
Rank: 497

*** Bank of China Centre ***
Height: 130.7
Floors: 27
Status: Completed
Started: 1998
Completed: 2000
Functions: office
Rank: 505

*** LHT Tower ***
Height: 130.55
Floors: 28
Status: Completed
Started: 2008
Completed: 2011
Functions: office
Rank: 506

*** Verbena Heights 1-2 ***
Height: 129.25
Floors: 40
Status: Completed
Completed: 1997
Functions: residential
Rank: 507

*** Park Towers Two ***
Height: 129
Floors: 40
Status: Completed
Completed: 1989
Functions: residential
Rank: 508

*** The Gateway Tower 1 ***
Height: 129
Floors: 36
Status: Completed
Completed: 1994
Functions: office
Rank: 509

*** The Gateway Tower 2 ***
Height: 129
Floors: 36
Status: Completed
Completed: 1994
Functions: office
Rank: 509

*** The Gateway Tower 3 ***
Height: 128.9
Floors: 35
Status: Completed
Completed: 1998
Functions: office
Rank: 511

*** The Gateway Tower 5 ***
Height: 128.9
Floors: 35
Status: Completed
Completed: 1998
Functions: office
Rank: 511

*** The Gateway Tower 6 ***
Height: 128.9
Floors: 35
Status: Completed
Completed: 1998
Functions: office
Rank: 511

*** Yau Lai Estate Cheuk Lai House ***
Height: 128.84
Floors: 41
Status: Completed
Completed: 2011
Functions: residential
Rank: 514

*** Yau Lai Estate Yung Lai House ***
Height: 128.84
Floors: 41
Status: Completed
Completed: 2011
Functions: residential
Rank: 514

*** Choi Man House-Yee Man House ***
Height: 128.32
Floors: 41
Status: Completed
Completed: 1998
Functions: residential
Rank: 516

*** The Pavilia Hill Tower 3 ***
Height: 128.25
Floors: 33
Status: Completed
Completed: 2016
Functions: residential
Rank: 517

*** The Pavilia Hill Tower 1 ***
Height: 128.25
Floors: 32
Status: Completed
Completed: 2016
Functions: residential
Rank: 518

*** The Pavilia Hill Tower 2 ***
Height: 128.25
Floors: 32
Status: Completed
Completed: 2016
Functions: residential
Rank: 518

*** The Pavilia Hill Tower 5 ***
Height: 128.25
Floors: 32
Status: Completed
Completed: 2016
Functions: residential
Rank: 518

*** The Pavilia Hill Tower 6 ***
Height: 128.25
Floors: 32
Status: Completed
Completed: 2016
Functions: residential
Rank: 518

*** Oi Chak House ***
Height: 128.02
Floors: 42
Status: Completed
Completed: 2001
Functions: residential
Rank: 522

*** Oi Ping House ***
Height: 128.02
Floors: 42
Status: Completed
Completed: 2001
Functions: residential
Rank: 522

*** King Man House ***
Height: 127.71
Floors: 41
Status: Completed
Completed: 1998
Functions: residential
Rank: 524

*** Sik Man House ***
Height: 127.71
Floors: 41
Status: Completed
Completed: 1998
Functions: residential
Rank: 524

*** Yat Man House ***
Height: 127.71
Floors: 41
Status: Completed
Completed: 1998
Functions: residential
Rank: 524

*** The Royal Court ***
Height: 127.71
Floors: 38
Status: Completed
Completed: 1989
Functions: residential
Rank: 527

*** Ching Chak House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2005
Functions: residential
Rank: 528

*** Ching Chiu House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2005
Functions: residential
Rank: 528

*** Ching Chung House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2006
Functions: residential
Rank: 528

*** Ching Hin House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2006
Functions: residential
Rank: 528

*** Ching Long House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2005
Functions: residential
Rank: 528

*** Ching Ping House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2006
Functions: residential
Rank: 528

*** Ching Yu House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2006
Functions: residential
Rank: 528

*** Ching Yun House ***
Height: 127.1
Floors: 42
Status: Completed
Completed: 2006
Functions: residential
Rank: 528

*** Kwun Hei Court Block A ***
Height: 127.1
Floors: 41
Status: Completed
Completed: 2000
Functions: residential
Rank: 536

*** Hoi Yan House ***
Height: 126.49
Floors: 41
Status: Completed
Completed: 2004
Functions: residential
Rank: 537

*** Shing Tin House and Cheung Tin House ***
Height: 126.19
Floors: 42
Status: Completed
Completed: 1975
Functions: residential
Rank: 538

*** CITIC Tower ***
Height: 126
Floors: 33
Status: Completed
Started: 1996
Completed: 1997
Functions: office
Rank: 539

*** Lee Garden Two ***
Height: 125.88
Floors: 30
Status: Completed
Completed: 1992
Functions: office
Rank: 540

*** H Queen's ***
Height: 125.72
Floors: 25
Status: Completed
Completed: 2017
Functions: exhibition / retail
Rank: 541

*** Arsenal House West Wing ***
Height: 125.7
Floors: 35
Status: Completed
Completed: 1996
Functions: office
Rank: 542

*** Central Government Offices ***
Height: 125.5
Status: Completed
Completed: 2011
Functions: government
Rank: 543

*** The Excelsior ***
Height: 125.27
Floors: 34
Status: Completed
Completed: 1972
Functions: hotel
Rank: 544

*** Hong Ching House ***
Height: 124.97
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 545

*** Lok Ching House ***
Height: 124.97
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 545

*** Yan Ching House ***
Height: 124.97
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 545

*** CITÉ 33 ***
Height: 124.66
Floors: 32
Status: Completed
Completed: 2008
Functions: residential
Rank: 548

*** Tak Cheung House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Kei House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Loong House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Shan House ***
Height: 124.05
Floors: 41
Status: Completed
Completed: 2013
Functions: residential
Rank: 549

*** Tak Sui House ***
Height: 124.05
Floors: 41
Status: Completed
