*** Chicago (1107) ***
Completed: 1974
Functions: office
Rank: 1

*** Trump International Hotel & Tower ***
Height: 423.22
Floors: 98
Status: Completed
Started: 2005
Completed: 2009
Functions: residential / hotel
Rank: 2

*** Vista Tower ***
Height: 362.91
Floors: 101
Status: Under Construction
Started: 2016
Completed: 2020
Functions: residential / hotel
Rank: 3

*** 875 North Michigan Avenue ***
Height: 343.69
Floors: 100
Status: Completed
Started: 1965
Completed: 1969
Functions: residential / office
Rank: 4

*** The Franklin - North Tower ***
Height: 306.94
Floors: 60
Status: Completed
Started: 1987
Completed: 1989
Functions: office
Rank: 5

*** Two Prudential Plaza ***
Height: 303.28
Floors: 64
Status: Completed
Started: 1988
Completed: 1990
Functions: office
Rank: 6

*** 311 South Wacker Drive ***
Height: 292.92
Floors: 65
Status: Completed
Started: 1988
Completed: 1990
Functions: office
Rank: 7

*** NEMA Chicago ***
Height: 273.1
Floors: 76
Status: Architecturally Topped Out
Started: 2017
Completed: 2019
Functions: residential
Rank: 8

*** 900 North Michigan Avenue ***
Height: 265
Floors: 66
Status: Completed
Completed: 1989
Functions: residential / residential / office / hotel
Rank: 9

*** Chase Tower ***
Height: 264.6
Floors: 61
Status: Completed
Started: 1966
Completed: 1969
Functions: office
Rank: 10

*** Water Tower Place ***
Height: 261.88
Floors: 74
Status: Completed
Started: 1972
Completed: 1976
Functions: residential / hotel / retail
Rank: 11

*** Aqua at Lakeshore East ***
Height: 261.75
Floors: 86
Status: Completed
Started: 2007
Completed: 2009
Functions: residential / hotel
Rank: 12

*** Park Tower ***
Height: 257.35
Floors: 68
Status: Completed
Started: 1998
Completed: 2000
Functions: residential / hotel
Rank: 13

*** One Bennett Park ***
Height: 255.17
Floors: 67
Status: Completed
Started: 2016
Completed: 2018
Functions: residential
Rank: 14

*** The Legacy at Millennium Park ***
Height: 249.33
Floors: 73
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 15

*** Bank of America Tower ***
Height: 248.97
Floors: 56
Status: Under Construction
Started: 2018
Completed: 2020
Functions: office
Rank: 16

*** 300 North LaSalle ***
Height: 239.12
