*** London (366) ***
Floors: 28
Status: Completed
Started: 1968
Completed: 1969
Functions: office
Rank: 72

*** Centre Point ***
Height: 117.3
Floors: 35
Status: Completed
Started: 1963
Completed: 1966
Functions: office
Rank: 73

*** Stratosphere Tower ***
Height: 117
Floors: 38
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 74

*** Chronicle Tower ***
Height: 115
Floors: 35
Status: Completed
Started: 2013
Completed: 2016
Functions: residential
Rank: 75

*** East Village Site N08 Tower 2 ***
Height: 113
Floors: 31
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 76

*** The Heron ***
Height: 112
Floors: 36
Status: Completed
Started: 2010
Completed: 2013
Functions: residential
Rank: 77

*** Chapter London Spitalfields ***
Height: 111.9
Floors: 34
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 78

*** Capital Towers-Sky View Tower ***
Height: 111.5
Floors: 35
Status: Completed
Completed: 2017
Functions: residential
Rank: 79

*** Dollar Bay ***
Height: 108.95
Floors: 31
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 80

*** No. 1 West India Quay ***
Height: 108
Floors: 36
Status: Completed
Completed: 2004
Functions: residential / hotel
Rank: 81

*** Shell Centre ***
Height: 107
Floors: 26
Status: Completed
Completed: 1961
Functions: office
Rank: 82

*** One Crown Place North ***
Height: 105.94
Floors: 30
Status: Under Construction
Started: 2018
Completed: 2020
Functions: residential / office / retail
Rank: 83

*** Ontario Tower ***
Height: 105.5
Floors: 32
Status: Completed
Started: 2005
Completed: 2007
Functions: residential
Rank: 84

*** 30 Casson Square ***
Height: 105.4
Floors: 30
Status: Structurally Topped Out
Completed: 2018
Functions: residential
Rank: 85

*** 33 Canada Square ***
Height: 105
Floors: 18
Status: Completed
Completed: 1999
Functions: office
Rank: 86

*** Shoreditch Highgate Hotel ***
Height: 105
Status: Under Construction
Completed: 2020
Functions: hotel / office
Rank: 87

*** Pioneer Point Tower 2 ***
Height: 104.7
Floors: 31
Status: Completed
Started: 2009
Completed: 2011
Functions: residential
Rank: 88

*** 99 Bishopsgate ***
Height: 104
Floors: 26
Status: Completed
Completed: 1976
Functions: office
Rank: 89

*** 125 Old Broad Street ***
Height: 103.3
Floors: 27
Status: Completed
Completed: 1970
Functions: office
Rank: 90

*** Stratford Central-Legacy Tower ***
Height: 103
Floors: 33
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 91

*** Empress State Building ***
Height: 102.5
Floors: 31
Status: Completed
Completed: 1961
Functions: office
Rank: 92

*** Upper Riverside-Building 5 ***
Height: 102
Floors: 31
Status: Under Construction
Started: 2016
Functions: residential
Rank: 93

*** West End Gate-Tower A ***
Height: 101.72
Floors: 30
Status: Under Construction
Started: 2016
Functions: residential
Rank: 94

*** West Grove-The Highwood ***
Height: 101.5
Floors: 31
Status: Architecturally Topped Out
Started: 2015
Completed: 2018
Functions: residential
Rank: 95

*** Woodberry Down-Skyline ***
Height: 101
Floors: 31
Status: Completed
Completed: 2017
Functions: residential
Rank: 96

*** Portland House ***
Height: 101
Floors: 29
Status: Completed
Completed: 1963
Functions: office
Rank: 97

*** The London Hilton on Park Lane ***
Height: 101
Floors: 29
Status: Completed
Completed: 1963
Functions: hotel
Rank: 97

*** Angel Court ***
Height: 100.7
Floors: 26
Status: Completed
Started: 2013
Completed: 2017
Functions: office
Rank: 99

*** 4 Casson Square ***
Height: 100
Floors: 29
Status: Structurally Topped Out
Completed: 2018
Functions: residential
Rank: 100

*** East Village Site N08 Tower 1 ***
Height: 99.8
Floors: 28
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 101

*** Trellick Tower ***
Height: 98.1
Floors: 32
Status: Completed
Started: 1968
Completed: 1972
Functions: residential
Rank: 102

*** The Atlas ***
Height: 96.5
Floors: 32
Status: Under Construction
Started: 2015
Completed: 2018
Functions: residential
Rank: 103

*** Shard Place ***
Height: 96.2
Floors: 27
Status: Under Construction
Completed: 2019
Functions: residential
Rank: 104

*** Upper Riverside-Building 4 ***
Height: 96.1
Floors: 29
Status: Under Construction
Started: 2016
Functions: residential
Rank: 105

*** Canaletto ***
Height: 95.56
Floors: 31
Status: Completed
Started: 2012
Completed: 2017
Functions: residential
Rank: 106

*** The Waterman ***
Height: 95.5
Floors: 33
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 107

*** The Dumont ***
Height: 95.5
Floors: 30
Status: Under Construction
Started: 2016
Functions: residential
Rank: 108

*** Ropemaker ***
Height: 95.4
Floors: 22
Status: Completed
Completed: 2009
Functions: office
Rank: 109

*** Cassia Point ***
Height: 95.2
Floors: 30
Status: Completed
Started: 2014
Completed: 2016
Functions: residential
Rank: 110

*** The Lloyd's Building ***
Height: 95.1
Floors: 14
Status: Completed
Started: 1978
Completed: 1986
Functions: office
Rank: 111

*** Lincoln Plaza-Franklin Tower ***
Height: 95
Floors: 32
Status: Completed
Completed: 2016
Functions: residential
Rank: 112

*** Landmark West Tower ***
Height: 94.9
Floors: 30
Status: Completed
Started: 2007
Completed: 2010
Functions: residential
Rank: 113

*** Vauxhall Square-Miles Street South ***
Height: 94.9
Floors: 30
Status: Under Construction
Started: 2016
Completed: 2018
Functions: residential
Rank: 113

*** Harbour Central-Block A ***
Height: 94.3
Floors: 28
Status: Architecturally Topped Out
Completed: 2019
Functions: residential
Rank: 115

*** Upper Riverside-Building 3 ***
Height: 94.1
Floors: 26
