*** Sydney (505) ***
1.   Crown Sydney Hotel and Resort, 271m
Height: 168
Floors: 46
Status: Completed
Started: 1992
Completed: 1996
Functions: residential
Rank: 24

*** 1 O`Connell Street ***
Height: 166
Floors: 36
Status: Completed
Completed: 1991
Functions: office
Rank: 25

*** Westpac Place ***
Height: 166
Floors: 35
Status: Completed
Started: 2003
Completed: 2005
Functions: office
Rank: 26

*** 201 Elizabeth Street ***
Height: 165
Floors: 40
Status: Completed
Started: 1976
Completed: 1979
Functions: office
Rank: 27

*** Gateway Plaza ***
Height: 164
Floors: 46
Status: Completed
Started: 1988
Completed: 1989
Functions: office
Rank: 28

*** HSBC Centre ***
Height: 162
Floors: 37
Status: Completed
Started: 1986
Completed: 1988
Functions: office
Rank: 29

*** 1 Denison Street ***
Height: 158.65
Floors: 39
Status: Under Construction
Started: 2017
Completed: 2019
Functions: office / retail
Rank: 30

*** The Cove ***
Height: 158
Floors: 45
Status: Completed
Started: 2001
Completed: 2003
Functions: residential
Rank: 31

*** Hordern Towers ***
Height: 156
Floors: 48
Status: Completed
Started: 1997
Completed: 1999
Functions: residential
Rank: 32

*** The EY Centre ***
Height: 155
Floors: 38
Status: Completed
Started: 2013
Completed: 2016
Functions: office / retail
Rank: 33

*** Metro Spire Residences ***
Height: 155
Floors: 37
Status: Completed
Started: 2012
Completed: 2014
Functions: residential
Rank: 34

*** Angel Place ***
Height: 152.4
Floors: 35
Status: Completed
Started: 1995
Completed: 2000
Functions: office
Rank: 35

*** Sydney Central ***
Height: 152.3
Floors: 31
Status: Completed
Started: 1990
Completed: 1992
Functions: office
Rank: 36

*** Lumiere ***
Height: 152
Floors: 47
Status: Completed
Started: 2004
Completed: 2007
Functions: residential
Rank: 37

*** 100 Mount Street ***
Height: 152
Floors: 39
Status: Structurally Topped Out
Started: 2016
Completed: 2019
Functions: office
Rank: 38

*** The Landmark ***
Height: 151.6
Floors: 46
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 39

*** 85 Castlereagh Street ***
Height: 151
Floors: 32
Status: Completed
Started: 2009
Completed: 2011
Functions: retail / office
Rank: 40

***  Eighty-Eight by JQZ Tower 1 ***
Height: 149
Floors: 46
Status: Under Construction
Started: 2019
Completed: 2021
Functions: residential
Rank: 41

*** Colonial State Bank ***
Height: 148
Floors: 36
Status: Completed
Completed: 1986
Functions: office
Rank: 42

*** Governor MacQuarie Tower ***
Height: 145
Floors: 36
Status: Completed
Completed: 1994
Functions: office
Rank: 43

*** Commsec Tower ***
Height: 145
Floors: 33
Status: Completed
Completed: 1999
Functions: office
Rank: 44

*** Horizon Apartments ***
Height: 144
Floors: 43
Status: Completed
Completed: 1998
Functions: residential
Rank: 45

*** Rhodes Central Tower A ***
Height: 144
Floors: 39
Status: Under Construction
Started: 2017
Completed: 2019
Functions: residential
Rank: 46

*** Quay West Apartments ***
Height: 142
Floors: 44
Status: Completed
Completed: 1991
Functions: residential
Rank: 47

*** Swissotel Sydney ***
Height: 141
Floors: 36
Status: Completed
Completed: 1999
Functions: residential / hotel / retail
Rank: 48

*** 8 Chifley ***
Height: 140.5
Floors: 24
Status: Completed
Started: 2010
Completed: 2013
Functions: office
Rank: 49

*** Quest World Square Apartments ***
Height: 140
Floors: 42
Status: Completed
Started: 2006
Completed: 2008
Functions: residential / hotel
Rank: 50

*** Telstra Plaza ***
Height: 140
Floors: 36
Status: Completed
Completed: 1988
Functions: office
Rank: 51

*** Elan Apartments ***
Height: 139
Floors: 38
Status: Completed
Started: 1995
Completed: 1997
Functions: residential
Rank: 52

*** 60 Martin Place ***
Height: 139
Floors: 33
Status: Under Construction
Started: 2016
Completed: 2019
Functions: office
Rank: 53

*** 1 Bligh Street ***
Height: 138.8
Floors: 28
Status: Completed
Started: 2009
Completed: 2011
Functions: office
Rank: 54

*** Bankers Trust Tower ***
Height: 138
Floors: 35
Status: Completed
Completed: 1998
Functions: office
Rank: 55

*** Rialto Tower ***
Height: 137
Floors: 45
Status: Completed
Completed: 2003
Functions: residential
Rank: 56

*** 420 George Street ***
Height: 136.37
Floors: 36
Status: Completed
Started: 2007
Completed: 2010
Functions: office / retail
Rank: 57

*** Park Regis City Centre ***
Height: 136
Floors: 45
Status: Completed
Started: 1966
Completed: 1968
Functions: residential
Rank: 58

*** Era ***
Height: 136
Floors: 43
Status: Completed
Started: 2011
Completed: 2013
Functions: residential / office / retail
Rank: 59

*** Darling North ***
Height: 136
Floors: 41
Status: Architecturally Topped Out
Started: 2017
Completed: 2019
Functions: residential
Rank: 60

*** Darling One ***
Height: 136
Floors: 40
Status: Completed
Started: 2015
Completed: 2017
Functions: residential
Rank: 61

*** Victoria Towers ***
Height: 135
Floors: 39
Status: Completed
Completed: 1996
Functions: residential
Rank: 62

*** York & George ***
Height: 135
Floors: 39
Status: Completed
Started: 2015
Completed: 2018
Functions: residential
Rank: 62

*** Wynyard Place ***
Height: 134
Floors: 34
Status: Under Construction
Started: 2017
Completed: 2019
Functions: office
Rank: 64

*** Met Centre ***
Height: 134
